4	8	“Tôi là điều dưỡng chăm sóc mẹ và bé với tinh thần tận tâm, nhẹ nhàng và trách nhiệm. Tôi luôn ưu tiên sự an toàn, thoải mái và sức khỏe của mẹ sau sinh cũng như em bé trong suốt quá trình chăm sóc. Tôi có khả năng hỗ trợ theo dõi sức khỏe, hướng dẫn chăm bé cơ bản và đồng hành cùng gia đình với thái độ chuyên nghiệp, chu đáo.”	Chăm sóc mẹ sau sinh Theo dõi sức khỏe mẹ và bé Hỗ trợ chăm sóc trẻ sơ sinh Tư vấn chăm sóc sau sinh cơ bản	\N	5	10	0.00	t	unverified	\N	\N	submitted	2026-05-25 05:30:12.203141+00	2026-05-25 05:47:14.695779+00
5	10	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hải Châu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	1	6	4.00	t	verified	2026-05-20 04:11:40.414835+00	\N	approved	2026-05-27 04:11:40.414781+00	2026-05-27 04:11:40.414781+00
9	14	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hải Châu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	1	7	4.80	t	verified	2026-05-20 04:11:44.313108+00	\N	approved	2026-05-27 04:11:44.313105+00	2026-05-27 04:11:44.313106+00
6	11	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hải Châu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	4	6	4.70	t	verified	2026-05-20 04:11:41.512783+00	\N	approved	2026-05-27 04:11:41.512781+00	2026-05-27 04:11:41.512781+00
7	12	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hải Châu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	7	7	4.40	t	verified	2026-05-20 04:11:42.220421+00	\N	approved	2026-05-27 04:11:42.220417+00	2026-05-27 04:11:42.220417+00
8	13	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hải Châu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	10	8	4.10	t	verified	2026-05-20 04:11:43.113299+00	\N	approved	2026-05-27 04:11:43.113297+00	2026-05-27 04:11:43.113297+00
15	20	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Thanh Khê, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	7	7	4.00	t	verified	2026-05-20 04:11:51.116462+00	\N	approved	2026-05-27 04:11:51.116459+00	2026-05-27 04:11:51.11646+00
16	21	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Thanh Khê, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	10	8	4.70	t	verified	2026-05-20 04:11:51.925423+00	\N	approved	2026-05-27 04:11:51.925421+00	2026-05-27 04:11:51.925421+00
23	28	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Ngũ Hành Sơn, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	7	7	4.60	t	verified	2026-05-20 04:11:58.530748+00	\N	approved	2026-05-27 04:11:58.530745+00	2026-05-27 04:11:58.530745+00
10	15	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hải Châu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	4	8	4.50	t	verified	2026-05-20 04:11:45.206203+00	\N	approved	2026-05-27 04:11:45.2062+00	2026-05-27 04:11:45.2062+00
